phrase_id,raag,phrase,clip_id,video,t0,t1,cost,pitch_cost,orn_frac,gap_frac
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk3.mp3,IaWMS9vmWRM,15.63,15.89,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk3.mp3,IaWMS9vmWRM,14.38,14.6,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk4.mp3,IaWMS9vmWRM,9.88,10.1,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk4.mp3,IaWMS9vmWRM,9.88,10.6,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk0.mp3,QaE7GojryQE,16.62,16.84,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk0.mp3,QaE7GojryQE,5.48,5.74,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk1.mp3,QaE7GojryQE,17.07,17.3,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk1.mp3,QaE7GojryQE,18.33,18.54,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk1.mp3,QaE7GojryQE,18.33,19.04,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk4.mp3,QaE7GojryQE,7.09,7.38,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk4.mp3,QaE7GojryQE,20.48,20.85,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk1.mp3,p36qxVRg6kw,3.64,3.89,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk1.mp3,p36qxVRg6kw,3.64,4.48,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk1.mp3,p36qxVRg6kw,6.86,7.09,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk4.mp3,p36qxVRg6kw,16.52,16.87,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk0.mp3,rUoWx__itDo,2.4,2.63,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk0.mp3,rUoWx__itDo,12.69,12.91,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk0.mp3,rUoWx__itDo,12.21,12.43,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk0.mp3,rUoWx__itDo,12.02,12.23,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk1.mp3,rUoWx__itDo,1.0,1.23,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk1.mp3,rUoWx__itDo,10.04,10.26,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk1.mp3,rUoWx__itDo,4.57,4.78,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk1.mp3,rUoWx__itDo,18.99,19.2,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk1.mp3,rUoWx__itDo,18.4,18.61,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk2.mp3,rUoWx__itDo,2.17,2.44,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk2.mp3,rUoWx__itDo,12.39,12.69,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk3.mp3,rUoWx__itDo,17.03,17.24,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk4.mp3,rUoWx__itDo,5.83,6.13,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk0.mp3,uPLSOevIK-4,7.63,7.84,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk0.mp3,uPLSOevIK-4,7.63,8.34,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk0.mp3,uPLSOevIK-4,9.94,10.15,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk1.mp3,uPLSOevIK-4,16.91,18.03,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk1.mp3,uPLSOevIK-4,16.91,18.04,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk1.mp3,uPLSOevIK-4,16.91,18.06,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk1.mp3,uPLSOevIK-4,16.91,18.08,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk1.mp3,uPLSOevIK-4,16.91,18.1,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk2.mp3,uPLSOevIK-4,11.86,12.07,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk2.mp3,uPLSOevIK-4,9.26,9.48,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk2.mp3,uPLSOevIK-4,15.5,15.72,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk3.mp3,uPLSOevIK-4,12.28,12.5,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk3.mp3,uPLSOevIK-4,16.14,16.36,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk3.mp3,uPLSOevIK-4,18.63,18.84,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk4.mp3,uPLSOevIK-4,17.83,18.15,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk1.mp3,wJPV6sIjWv4,4.62,4.85,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk1.mp3,wJPV6sIjWv4,1.0,1.23,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk2.mp3,wJPV6sIjWv4,4.85,5.07,3.0,3.0,0.0,0.0
