Cycle_ID,Raag_Name,Notes
69,malkauns,"S,g,m,d,n"
69,chandrakauns,"S,g,m,d,N"
69,girija,"S,G,m,d,N"
69,bhinna shadja,"S,G,m,D,N"
69,hindol,"S,G,M,D,N"
69,amritavarshini,"S,G,M,P,N"
69,marukauns,"S,G,M,P,n"
69,madhukauns,"S,g,M,P,n"
69,devashree,"S,R,M,P,n"
69,megh,"S,R,m,P,n"
69,durga,"S,R,m,P,D"
69,bhoop / deshkar,"S,R,G,P,D"
69,hansadhwani,"S,R,G,P,N"
69,prateeksha,"S,R,G,P,d"
69,vibhas,"S,r,G,P,d"
69,bhoopal todi,"S,r,g,P,d"
69,bairagi todi,"S,r,g,P,n"
69,bairagi,"S,r,m,P,n"
69,dhani,"S,g,m,P,n"
70,malkauns,"S,g,m,d,n"
70,chandrakauns,"S,g,m,d,N"
70,girija,"S,G,m,d,N"
70,bhinna shadja,"S,G,m,D,N"
70,hindol,"S,G,M,D,N"
70,amritavarshini,"S,G,M,P,N"
70,marukauns,"S,G,M,P,n"
70,madhukauns,"S,g,M,P,n"
70,devashree,"S,R,M,P,n"
70,megh,"S,R,m,P,n"
70,durga,"S,R,m,P,D"
70,bhoop / deshkar,"S,R,G,P,D"
70,hansadhwani,"S,R,G,P,N"
70,prateeksha,"S,R,G,P,d"
70,vibhas,"S,r,G,P,d"
70,bhoopal todi,"S,r,g,P,d"
70,gunakali,"S,r,m,P,d"
70,bairagi,"S,r,m,P,n"
70,dhani,"S,g,m,P,n"
71,malkauns,"S,g,m,d,n"
71,chandrakauns,"S,g,m,d,N"
71,girija,"S,G,m,d,N"
71,bhinna shadja,"S,G,m,D,N"
71,hindol,"S,G,M,D,N"
71,amritavarshini,"S,G,M,P,N"
71,marukauns,"S,G,M,P,n"
71,madhukauns,"S,g,M,P,n"
71,devashree,"S,R,M,P,n"
71,megh,"S,R,m,P,n"
71,durga,"S,R,m,P,D"
71,bhoop / deshkar,"S,R,G,P,D"
71,hansadhwani,"S,R,G,P,N"
71,prateeksha,"S,R,G,P,d"
71,vibhas,"S,r,G,P,d"
71,gunakali,"S,r,m,P,d"
71,manoranjani,"S,r,m,P,D"
71,bairagi,"S,r,m,P,n"
71,dhani,"S,g,m,P,n"
72,malkauns,"S,g,m,d,n"
72,chandrakauns,"S,g,m,d,N"
72,girija,"S,G,m,d,N"
72,bhinna shadja,"S,G,m,D,N"
72,hindol,"S,G,M,D,N"
72,amritavarshini,"S,G,M,P,N"
72,marukauns,"S,G,M,P,n"
72,devashree,"S,R,M,P,n"
72,megh,"S,R,m,P,n"
72,durga,"S,R,m,P,D"
72,shivaranjani,"S,R,g,P,D"
72,bhoop / deshkar,"S,R,G,P,D"
72,hansadhwani,"S,R,G,P,N"
72,prateeksha,"S,R,G,P,d"
72,vibhas,"S,r,G,P,d"
72,bhoopal todi,"S,r,g,P,d"
72,gunakali,"S,r,m,P,d"
72,manoranjani,"S,r,m,P,D"
72,bairagi,"S,r,m,P,n"
72,dhani,"S,g,m,P,n"
73,malkauns,"S,g,m,d,n"
73,chandrakauns,"S,g,m,d,N"
73,girija,"S,G,m,d,N"
73,bhinna shadja,"S,G,m,D,N"
73,hindol,"S,G,M,D,N"
73,amritavarshini,"S,G,M,P,N"
73,marukauns,"S,G,M,P,n"
73,devashree,"S,R,M,P,n"
73,megh,"S,R,m,P,n"
73,durga,"S,R,m,P,D"
73,shivaranjani,"S,R,g,P,D"
73,bhoop / deshkar,"S,R,G,P,D"
73,hansadhwani,"S,R,G,P,N"
73,prateeksha,"S,R,G,P,d"
73,vibhas,"S,r,G,P,d"
73,gunakali,"S,r,m,P,d"
73,bhoopal todi,"S,r,g,P,d"
73,bairagi todi,"S,r,g,P,n"
