phrase_id,raag,phrase,len,idf,n_own,n_legal_raags,auc_legal,auc_legal_video,auc_twin,auc_shuffle,hit_at_fpr,med_own,med_legal,med_illegal,passes
Sarang#3,Sarang,"m P n P m R ,N S",8,2.087,50,7,0.488,0.608,nan,0.614,0.84,3.0,3.0,3.0,False
Shankara#0,Shankara,G P N D `S N,6,2.361,70,11,0.537,0.539,nan,0.631,0.143,3.0,3.0,3.0,False
Shankara#1,Shankara,D P G P,4,2.233,70,15,0.54,0.614,nan,0.606,0.143,2.7,2.88,2.85,False
Shankara#2,Shankara,R G R S,4,1.819,70,14,0.419,0.463,nan,0.578,0.114,1.9,1.07,1.53,False
Shivranjani#0,Shivranjani,R g P,3,3.277,25,10,0.626,0.845,nan,0.646,0.44,0.75,1.47,1.93,False
Shivranjani#1,Shivranjani,D P g R,4,2.128,25,8,0.557,0.746,nan,0.757,0.16,1.66,2.81,3.0,False
Shivranjani#2,Shivranjani,g S R D S,5,2.567,25,8,0.447,0.535,nan,0.526,0.08,3.0,3.0,3.0,False
Shree#0,Shree,"S ,N r",3,2.48,45,9,0.581,0.569,0.589,0.488,0.267,0.08,0.21,0.66,False
Shree#2,Shree,M P d M G r G r S,9,2.663,45,2,0.623,0.833,0.623,0.729,0.911,3.0,3.0,3.0,False
Shree#3,Shree,M P N `S `r,5,1.903,45,5,0.51,0.667,0.466,0.762,0.222,1.9,1.68,1.98,False
Shree#4,Shree,`r N d P,4,2.334,45,5,0.459,0.515,0.439,0.71,0.178,1.83,1.48,1.8,False
Shree#5,Shree,M d M G r,5,2.983,45,3,0.664,0.831,0.658,0.734,0.422,1.5,3.0,3.0,False
Sohani#0,Sohani,M D N `S `r `S,6,2.118,45,2,0.474,0.384,0.375,0.629,0.044,2.49,2.54,2.25,False
Sohani#1,Sohani,N D N D,4,2.474,45,19,0.45,0.498,0.339,0.509,0.067,1.94,1.34,1.44,False
Sohani#2,Sohani,`S `r `S `r N `S N D G M G,11,2.624,45,2,0.489,0.583,0.426,0.688,0.133,3.0,3.0,3.0,False
TilakKamod#0,TilakKamod,",P ,N S R G S",6,1.933,20,11,0.564,0.575,nan,0.559,0.25,3.0,3.0,3.0,False
TilakKamod#1,TilakKamod,R P m G,4,1.714,20,9,0.432,0.271,nan,0.485,0.0,2.97,2.75,3.0,False
TilakKamod#2,TilakKamod,"S R G S ,N",5,2.147,20,11,0.697,0.825,nan,0.683,0.4,1.15,2.5,2.9,False
TilakKamod#3,TilakKamod,S R m P `S,5,1.683,20,19,0.561,0.794,nan,0.581,0.2,3.0,3.0,3.0,False
TilakKamod#4,TilakKamod,`S `R `G `S,4,2.029,20,14,0.671,0.7,nan,0.65,0.3,0.59,2.33,1.95,False
TilakKamod#5,TilakKamod,`S P D m G,5,2.321,20,9,0.511,0.694,nan,0.543,0.15,3.0,3.0,3.0,False
TilakKamod#6,TilakKamod,S R m G,4,1.794,20,9,0.665,0.795,nan,0.726,0.35,0.68,1.21,1.32,False
TilakKamod#7,TilakKamod,"S R G S ,N",5,2.147,20,11,0.697,0.825,nan,0.639,0.4,1.15,2.5,2.16,False
Tilang#0,Tilang,G m P n P m G,7,1.538,20,8,0.45,0.51,nan,0.598,0.1,3.0,3.0,3.0,False
Tilang#1,Tilang,n P G m G,5,2.148,20,8,0.688,0.804,nan,0.811,0.5,0.18,1.98,2.49,False
Todi#0,Todi,",N S r g",4,2.146,30,1,0.555,0.736,0.555,0.604,0.267,0.74,0.83,0.9,False
Todi#1,Todi,M r g,3,3.655,30,1,0.422,0.611,0.422,0.51,0.2,2.46,1.9,1.83,False
Vibhas#0,Vibhas,P d P,3,2.134,40,11,0.495,0.357,nan,nan,0.35,0.27,0.17,0.64,False
Vibhas#1,Vibhas,G P G r S,5,2.256,40,6,0.551,0.694,nan,0.628,0.225,3.0,3.0,3.0,False
Yaman#0,Yaman,",N R G",3,2.664,35,11,0.543,0.786,nan,0.617,0.229,0.65,1.02,1.26,False
Yaman#1,Yaman,",N R M G",4,3.495,35,3,0.412,0.401,nan,0.525,0.086,2.75,1.78,2.1,False
Yaman#3,Yaman,M D P N D P M R G R,10,2.507,35,3,0.428,0.49,nan,0.55,0.714,3.0,3.0,3.0,False
Yaman#4,Yaman,",N R ,D ,N S",5,2.86,35,14,0.516,0.648,nan,0.446,0.171,3.0,3.0,3.0,False
