[m3] 5184 configs
  top1 0.109±0.028  top5 0.275  vid 0.124  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.7, 'lam_uni': 0.25, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.109±0.032  top5 0.268  vid 0.106  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': True, 'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.5, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.109±0.022  top5 0.277  vid 0.116  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 0.0, 'w_dur': 1.0, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.109±0.028  top5 0.277  vid 0.121  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.9, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 1.0, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.109±0.028  top5 0.273  vid 0.116  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.5, 'lam_uni': 0.25, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.108±0.028  top5 0.278  vid 0.116  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.5, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 1.0, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.108±0.033  top5 0.261  vid 0.114  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': False, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': True, 'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.108±0.024  top5 0.260  vid 0.119  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': False, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': True, 'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.5, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.108±0.014  top5 0.277  vid 0.129  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.5, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': True, 'w_skip': 0.5}
  top1 0.108±0.027  top5 0.269  vid 0.121  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': False, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.5, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 0.5, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.108±0.020  top5 0.276  vid 0.119  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.9, 'lam_uni': 0.1, 'uni_from_scale': 0.75, 'nyas_boost': 0.0, 'w_dur': 1.0, 'dur_weighted': False, 'w_skip': 0.5}
  top1 0.107±0.032  top5 0.275  vid 0.116  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'shift_mode': 'none', 'w_arohana': 1.0, 'symmetric': False, 'lam_bi': 0.9, 'lam_uni': 0.25, 'uni_from_scale': 0.75, 'nyas_boost': 1.0, 'w_dur': 1.0, 'dur_weighted': False, 'w_skip': 0.5}
  -> /Users/neerajaabhyankar/Repos/icm-shruti-analysis/raag-identifier/motif-classifier/results/sweep_m3.json
